generation_project,timestamp,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,tp_weight_in_year_hrs,period,is_renewable,DispatchGen_MW,Curtailment_MW,Energy_GWh_typical_yr,VariableOMCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,DispatchEmissions_tNOx_per_typical_yr,DispatchEmissions_tSO2_per_typical_yr,DispatchEmissions_tCH4_per_typical_yr
N-Central_PV-2,2025011600,N-Central_PV-2,Central_PV,North,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
N-Central_PV-2,2025011612,N-Central_PV-2,Central_PV,North,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
N-Central_PV-2,2025061500,N-Central_PV-2,Central_PV,North,Solar,2191.5,2020,True,0,0,0,0,0,0,0,0
N-Central_PV-2,2025061512,N-Central_PV-2,Central_PV,North,Solar,2191.5,2020,True,0,0,0,0,0,0,0,0
N-Central_PV-2,2035011512,N-Central_PV-2,Central_PV,North,Solar,8766,2030,True,0,0,0,0,0,0,0,0
N-Wind-1,2025011500,N-Wind-1,Wind,North,Wind,1095.7,2020,True,0,0,0,0,0,0,0,0
N-Wind-1,2025011512,N-Wind-1,Wind,North,Wind,1095.7,2020,True,0,0,0,0,0,0,0,0
N-Wind-1,2025011600,N-Wind-1,Wind,North,Wind,1095.7,2020,True,0,0,0,0,0,0,0,0
N-Wind-1,2025011612,N-Wind-1,Wind,North,Wind,1095.7,2020,True,0,0,0,0,0,0,0,0
N-Wind-1,2025061500,N-Wind-1,Wind,North,Wind,2191.5,2020,True,0,0,0,0,0,0,0,0
N-Wind-1,2025061512,N-Wind-1,Wind,North,Wind,2191.5,2020,True,0,0,0,0,0,0,0,0
N-Wind-1,2035011512,N-Wind-1,Wind,North,Wind,8766,2030,True,3.1808,0,27.883,0,0,0,0,0
N-Wind-2,2025011500,N-Wind-2,Wind,North,Wind,1095.7,2020,True,0,0,0,0,0,0,0,0
N-Wind-2,2025011512,N-Wind-2,Wind,North,Wind,1095.7,2020,True,0,0,0,0,0,0,0,0
N-Wind-2,2025011600,N-Wind-2,Wind,North,Wind,1095.7,2020,True,0,0,0,0,0,0,0,0
N-Wind-2,2025011612,N-Wind-2,Wind,North,Wind,1095.7,2020,True,0,0,0,0,0,0,0,0
N-Wind-2,2025061500,N-Wind-2,Wind,North,Wind,2191.5,2020,True,0,0,0,0,0,0,0,0
N-Wind-2,2025061512,N-Wind-2,Wind,North,Wind,2191.5,2020,True,0,0,0,0,0,0,0,0
N-Wind-2,2035011512,N-Wind-2,Wind,North,Wind,8766,2030,True,0.86478,0,7.5807,0,0,0,0,0
C-Coal_IGCC,2025011500,C-Coal_IGCC,Coal_IGCC,Central,Coal,1095.7,2020,False,0,0,0,0,0,0,0,0
C-Coal_IGCC,2025011512,C-Coal_IGCC,Coal_IGCC,Central,Coal,1095.7,2020,False,0,0,0,0,0,0,0,0
C-Coal_IGCC,2025011600,C-Coal_IGCC,Coal_IGCC,Central,Coal,1095.7,2020,False,0,0,0,0,0,0,0,0
C-Coal_IGCC,2025011612,C-Coal_IGCC,Coal_IGCC,Central,Coal,1095.7,2020,False,0,0,0,0,0,0,0,0
C-Coal_IGCC,2025061500,C-Coal_IGCC,Coal_IGCC,Central,Coal,2191.5,2020,False,0,0,0,0,0,0,0,0
C-Coal_IGCC,2025061512,C-Coal_IGCC,Coal_IGCC,Central,Coal,2191.5,2020,False,0,0,0,0,0,0,0,0
C-Coal_IGCC,2035011512,C-Coal_IGCC,Coal_IGCC,Central,Coal,8766,2030,False,0,0,0,0,0,0,0,0
C-Coal_ST,2025011500,C-Coal_ST,Coal_ST,Central,Coal,1095.7,2020,False,1.692,0,1.854,6674.4,1682.4,0,0,0
C-Coal_ST,2025011512,C-Coal_ST,Coal_ST,Central,Coal,1095.7,2020,False,1.692,0,1.854,6674.4,1682.4,0,0,0
C-Coal_ST,2025011600,C-Coal_ST,Coal_ST,Central,Coal,1095.7,2020,False,1.692,0,1.854,6674.4,1682.4,0,0,0
C-Coal_ST,2025011612,C-Coal_ST,Coal_ST,Central,Coal,1095.7,2020,False,1.692,0,1.854,6674.4,1682.4,0,0,0
C-Coal_ST,2025061500,C-Coal_ST,Coal_ST,Central,Coal,2191.5,2020,False,1.692,0,3.708,13349,3364.8,0,0,0
C-Coal_ST,2025061512,C-Coal_ST,Coal_ST,Central,Coal,2191.5,2020,False,1.692,0,3.708,13349,3364.8,0,0,0
C-NG_CC,2025011500,C-NG_CC,NG_CC,Central,NaturalGas,1095.7,2020,False,6.6341,2.0788,7.2693,19849,2586.2,0,0,0
C-NG_CC,2025011512,C-NG_CC,NG_CC,Central,NaturalGas,1095.7,2020,False,6.2483,2.4647,6.8465,18694,2435.8,0,0,0
C-NG_CC,2025011600,C-NG_CC,NG_CC,Central,NaturalGas,1095.7,2020,False,6.5402,2.1727,7.1664,19568,2549.6,0,0,0
C-NG_CC,2025011612,C-NG_CC,NG_CC,Central,NaturalGas,1095.7,2020,False,6.7897,1.9232,7.4398,20314,2646.8,0,0,0
C-NG_CC,2025061500,C-NG_CC,NG_CC,Central,NaturalGas,2191.5,2020,False,7.3716,1.3413,16.155,44111,5747.4,0,0,0
C-NG_CC,2025061512,C-NG_CC,NG_CC,Central,NaturalGas,2191.5,2020,False,8.7129,0,19.094,52137,6793.2,0,0,0
C-NG_CC,2035011512,C-NG_CC,NG_CC,Central,NaturalGas,8766,2030,False,9.7977,0,85.887,2.3451e+05,30556,0,0,0
C-NG_GT,2025011500,C-NG_GT,NG_GT,Central,NaturalGas,1095.7,2020,False,0,1.88,0,0,0,0,0,0
C-NG_GT,2025011512,C-NG_GT,NG_GT,Central,NaturalGas,1095.7,2020,False,0,1.88,0,0,0,0,0,0
C-NG_GT,2025011600,C-NG_GT,NG_GT,Central,NaturalGas,1095.7,2020,False,0,1.88,0,0,0,0,0,0
C-NG_GT,2025011612,C-NG_GT,NG_GT,Central,NaturalGas,1095.7,2020,False,0,1.88,0,0,0,0,0,0
C-NG_GT,2025061500,C-NG_GT,NG_GT,Central,NaturalGas,2191.5,2020,False,0,1.88,0,0,0,0,0,0
C-NG_GT,2025061512,C-NG_GT,NG_GT,Central,NaturalGas,2191.5,2020,False,1.88,0,4.12,91652,2271.3,0,0,0
C-NG_GT,2035011512,C-NG_GT,NG_GT,Central,NaturalGas,8766,2030,False,0,0,0,0,0,0,0,0
C-Nuclear,2035011512,C-Nuclear,Nuclear,Central,Uranium,8766,2030,False,0,0,0,0,0,0,0,0
C-Biomass_IGCC,2025011500,C-Biomass_IGCC,Biomass_IGCC,Central,BioSolid,1095.7,2020,False,0,0,0,0,0,0,0,0
C-Biomass_IGCC,2025011512,C-Biomass_IGCC,Biomass_IGCC,Central,BioSolid,1095.7,2020,False,0,0,0,0,0,0,0,0
C-Biomass_IGCC,2025011600,C-Biomass_IGCC,Biomass_IGCC,Central,BioSolid,1095.7,2020,False,0,0,0,0,0,0,0,0
C-Biomass_IGCC,2025011612,C-Biomass_IGCC,Biomass_IGCC,Central,BioSolid,1095.7,2020,False,0,0,0,0,0,0,0,0
C-Biomass_IGCC,2025061500,C-Biomass_IGCC,Biomass_IGCC,Central,BioSolid,2191.5,2020,False,0,0,0,0,0,0,0,0
C-Biomass_IGCC,2025061512,C-Biomass_IGCC,Biomass_IGCC,Central,BioSolid,2191.5,2020,False,0,0,0,0,0,0,0,0
C-Biomass_IGCC,2035011512,C-Biomass_IGCC,Biomass_IGCC,Central,BioSolid,8766,2030,False,0,0,0,0,0,0,0,0
C-Residential_PV,2025011500,C-Residential_PV,Residential_PV,Central,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
C-Residential_PV,2025011512,C-Residential_PV,Residential_PV,Central,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
C-Residential_PV,2025011600,C-Residential_PV,Residential_PV,Central,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
C-Residential_PV,2025011612,C-Residential_PV,Residential_PV,Central,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
C-Residential_PV,2025061500,C-Residential_PV,Residential_PV,Central,Solar,2191.5,2020,True,0,0,0,0,0,0,0,0
C-Residential_PV,2025061512,C-Residential_PV,Residential_PV,Central,Solar,2191.5,2020,True,0,0,0,0,0,0,0,0
C-Residential_PV,2035011512,C-Residential_PV,Residential_PV,Central,Solar,8766,2030,True,0,0,0,0,0,0,0,0
C-Commercial_PV,2025011500,C-Commercial_PV,Commercial_PV,Central,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
C-Commercial_PV,2025011512,C-Commercial_PV,Commercial_PV,Central,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
C-Commercial_PV,2025011600,C-Commercial_PV,Commercial_PV,Central,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
C-Commercial_PV,2025011612,C-Commercial_PV,Commercial_PV,Central,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
C-Commercial_PV,2025061500,C-Commercial_PV,Commercial_PV,Central,Solar,2191.5,2020,True,0,0,0,0,0,0,0,0
C-Commercial_PV,2025061512,C-Commercial_PV,Commercial_PV,Central,Solar,2191.5,2020,True,0,0,0,0,0,0,0,0
C-Commercial_PV,2035011512,C-Commercial_PV,Commercial_PV,Central,Solar,8766,2030,True,0,0,0,0,0,0,0,0
C-Central_PV-1,2025011500,C-Central_PV-1,Central_PV,Central,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
C-Central_PV-1,2025011512,C-Central_PV-1,Central_PV,Central,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
C-Central_PV-1,2025011600,C-Central_PV-1,Central_PV,Central,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
C-Central_PV-1,2025011612,C-Central_PV-1,Central_PV,Central,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
C-Central_PV-1,2025061500,C-Central_PV-1,Central_PV,Central,Solar,2191.5,2020,True,0,0,0,0,0,0,0,0
C-Central_PV-1,2025061512,C-Central_PV-1,Central_PV,Central,Solar,2191.5,2020,True,0,0,0,0,0,0,0,0
C-Central_PV-1,2035011512,C-Central_PV-1,Central_PV,Central,Solar,8766,2030,True,0,0,0,0,0,0,0,0
C-Central_PV-2,2025011500,C-Central_PV-2,Central_PV,Central,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
C-Central_PV-2,2025011512,C-Central_PV-2,Central_PV,Central,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
C-Central_PV-2,2025011600,C-Central_PV-2,Central_PV,Central,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
C-Central_PV-2,2025011612,C-Central_PV-2,Central_PV,Central,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
C-Central_PV-2,2025061500,C-Central_PV-2,Central_PV,Central,Solar,2191.5,2020,True,0,0,0,0,0,0,0,0
C-Central_PV-2,2025061512,C-Central_PV-2,Central_PV,Central,Solar,2191.5,2020,True,0,0,0,0,0,0,0,0
C-Central_PV-2,2035011512,C-Central_PV-2,Central_PV,Central,Solar,8766,2030,True,0,0,0,0,0,0,0,0
C-Wind-1,2025011500,C-Wind-1,Wind,Central,Wind,1095.7,2020,True,0,0,0,0,0,0,0,0
C-Wind-1,2025011512,C-Wind-1,Wind,Central,Wind,1095.7,2020,True,0,0,0,0,0,0,0,0
C-Wind-1,2025011600,C-Wind-1,Wind,Central,Wind,1095.7,2020,True,0,0,0,0,0,0,0,0
C-Wind-1,2025011612,C-Wind-1,Wind,Central,Wind,1095.7,2020,True,0,0,0,0,0,0,0,0
C-Wind-1,2025061500,C-Wind-1,Wind,Central,Wind,2191.5,2020,True,0,0,0,0,0,0,0,0
C-Wind-1,2025061512,C-Wind-1,Wind,Central,Wind,2191.5,2020,True,0,0,0,0,0,0,0,0
C-Wind-1,2035011512,C-Wind-1,Wind,Central,Wind,8766,2030,True,3.1808,0,27.883,0,0,0,0,0
C-Wind-2,2025011500,C-Wind-2,Wind,Central,Wind,1095.7,2020,True,0,0,0,0,0,0,0,0
C-Wind-2,2025011512,C-Wind-2,Wind,Central,Wind,1095.7,2020,True,0,0,0,0,0,0,0,0
C-Wind-2,2025011600,C-Wind-2,Wind,Central,Wind,1095.7,2020,True,0,0,0,0,0,0,0,0
C-Wind-2,2025011612,C-Wind-2,Wind,Central,Wind,1095.7,2020,True,0,0,0,0,0,0,0,0
C-Wind-2,2025061500,C-Wind-2,Wind,Central,Wind,2191.5,2020,True,0,0,0,0,0,0,0,0
C-Wind-2,2025061512,C-Wind-2,Wind,Central,Wind,2191.5,2020,True,0,0,0,0,0,0,0,0
C-Wind-2,2035011512,C-Wind-2,Wind,Central,Wind,8766,2030,True,2.5645,0,22.481,0,0,0,0,0
S-Geothermal,2025011500,S-Geothermal,Geothermal,South,Geothermal,1095.7,2020,False,2.9057,0,3.1839,1.1015e+05,0,0,0,0
S-Geothermal,2025011512,S-Geothermal,Geothermal,South,Geothermal,1095.7,2020,False,2.9057,0,3.1839,1.1015e+05,0,0,0,0
S-Geothermal,2025011600,S-Geothermal,Geothermal,South,Geothermal,1095.7,2020,False,2.9057,0,3.1839,1.1015e+05,0,0,0,0
S-Geothermal,2025011612,S-Geothermal,Geothermal,South,Geothermal,1095.7,2020,False,2.9057,0,3.1839,1.1015e+05,0,0,0,0
S-Geothermal,2025061500,S-Geothermal,Geothermal,South,Geothermal,2191.5,2020,False,2.9057,0,6.3679,2.2031e+05,0,0,0,0
S-Geothermal,2025061512,S-Geothermal,Geothermal,South,Geothermal,2191.5,2020,False,2.9057,0,6.3679,2.2031e+05,0,0,0,0
S-Geothermal,2035011512,S-Geothermal,Geothermal,South,Geothermal,8766,2030,False,0,0,0,0,0,0,0,0
S-NG_CC,2025011500,S-NG_CC,NG_CC,South,NaturalGas,1095.7,2020,False,0,0,0,0,0,0,0,0
S-NG_CC,2025011512,S-NG_CC,NG_CC,South,NaturalGas,1095.7,2020,False,0,0,0,0,0,0,0,0
S-NG_CC,2025011600,S-NG_CC,NG_CC,South,NaturalGas,1095.7,2020,False,0,0,0,0,0,0,0,0
S-NG_CC,2025011612,S-NG_CC,NG_CC,South,NaturalGas,1095.7,2020,False,0,0,0,0,0,0,0,0
S-NG_CC,2025061500,S-NG_CC,NG_CC,South,NaturalGas,2191.5,2020,False,0,0,0,0,0,0,0,0
S-NG_CC,2025061512,S-NG_CC,NG_CC,South,NaturalGas,2191.5,2020,False,0,0,0,0,0,0,0,0
S-NG_CC,2035011512,S-NG_CC,NG_CC,South,NaturalGas,8766,2030,False,1.6289,0,14.279,58483,5080.1,0,0,0
S-NG_CC_CCS,2035011512,S-NG_CC_CCS,NG_CC_CCS,South,NaturalGas,8766,2030,False,0,0,0,0,0,0,0,0
S-NG_GT,2025011500,S-NG_GT,NG_GT,South,NaturalGas,1095.7,2020,False,0,0,0,0,0,0,0,0
S-NG_GT,2025011512,S-NG_GT,NG_GT,South,NaturalGas,1095.7,2020,False,0,0,0,0,0,0,0,0
S-NG_GT,2025011600,S-NG_GT,NG_GT,South,NaturalGas,1095.7,2020,False,0,0,0,0,0,0,0,0
S-NG_GT,2025011612,S-NG_GT,NG_GT,South,NaturalGas,1095.7,2020,False,0,0,0,0,0,0,0,0
S-NG_GT,2025061500,S-NG_GT,NG_GT,South,NaturalGas,2191.5,2020,False,0,0,0,0,0,0,0,0
S-NG_GT,2025061512,S-NG_GT,NG_GT,South,NaturalGas,2191.5,2020,False,0,0,0,0,0,0,0,0
S-NG_GT,2035011512,S-NG_GT,NG_GT,South,NaturalGas,8766,2030,False,0,0,0,0,0,0,0,0
S-Biomass_IGCC,2025011500,S-Biomass_IGCC,Biomass_IGCC,South,BioSolid,1095.7,2020,False,0,0,0,0,0,0,0,0
S-Biomass_IGCC,2025011512,S-Biomass_IGCC,Biomass_IGCC,South,BioSolid,1095.7,2020,False,0,0,0,0,0,0,0,0
S-Biomass_IGCC,2025011600,S-Biomass_IGCC,Biomass_IGCC,South,BioSolid,1095.7,2020,False,0,0,0,0,0,0,0,0
S-Biomass_IGCC,2025011612,S-Biomass_IGCC,Biomass_IGCC,South,BioSolid,1095.7,2020,False,0,0,0,0,0,0,0,0
S-Biomass_IGCC,2025061500,S-Biomass_IGCC,Biomass_IGCC,South,BioSolid,2191.5,2020,False,0,0,0,0,0,0,0,0
S-Biomass_IGCC,2025061512,S-Biomass_IGCC,Biomass_IGCC,South,BioSolid,2191.5,2020,False,0,0,0,0,0,0,0,0
S-Biomass_IGCC,2035011512,S-Biomass_IGCC,Biomass_IGCC,South,BioSolid,8766,2030,False,0,0,0,0,0,0,0,0
S-Biomass_IGCC_CCS,2035011512,S-Biomass_IGCC_CCS,Biomass_IGCC_CCS,South,BioSolid,8766,2030,False,0,0,0,0,0,0,0,0
S-Residential_PV,2025011500,S-Residential_PV,Residential_PV,South,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
S-Residential_PV,2025011512,S-Residential_PV,Residential_PV,South,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
S-Residential_PV,2025011600,S-Residential_PV,Residential_PV,South,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
S-Residential_PV,2025011612,S-Residential_PV,Residential_PV,South,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
S-Residential_PV,2025061500,S-Residential_PV,Residential_PV,South,Solar,2191.5,2020,True,0,0,0,0,0,0,0,0
S-Residential_PV,2025061512,S-Residential_PV,Residential_PV,South,Solar,2191.5,2020,True,0,0,0,0,0,0,0,0
S-Residential_PV,2035011512,S-Residential_PV,Residential_PV,South,Solar,8766,2030,True,0,0,0,0,0,0,0,0
S-Commercial_PV,2025011500,S-Commercial_PV,Commercial_PV,South,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
S-Commercial_PV,2025011512,S-Commercial_PV,Commercial_PV,South,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
S-Commercial_PV,2025011600,S-Commercial_PV,Commercial_PV,South,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
S-Commercial_PV,2025011612,S-Commercial_PV,Commercial_PV,South,Solar,1095.7,2020,True,0,0,0,0,0,0,0,0
